Date,Series,Value
2020-08-10,Average Tone,-2.8914
2020-08-11,Average Tone,-2.5795
2020-08-12,Average Tone,-2.787
2020-08-13,Average Tone,-3.1125
2020-08-14,Average Tone,-2.9187
2020-08-15,Average Tone,-0.5759
2020-08-16,Average Tone,-2.5707
2020-08-17,Average Tone,-3.5072
2020-08-18,Average Tone,-2.6926
2020-08-19,Average Tone,-2.2427
2020-08-20,Average Tone,-2.9554
2020-08-21,Average Tone,-2.8917
2020-08-22,Average Tone,-2.6906
2020-08-23,Average Tone,-3.4964
2020-08-24,Average Tone,-3.0189
2020-08-25,Average Tone,-2.5322
2020-08-26,Average Tone,-2.5797
2020-08-27,Average Tone,-2.5196
2020-08-28,Average Tone,-2.639
2020-08-29,Average Tone,-5.006
2020-08-30,Average Tone,-2.9582
2020-08-31,Average Tone,-2.7467
2020-09-01,Average Tone,-3.2343
2020-09-02,Average Tone,-4.4269
2020-09-03,Average Tone,-3.4595
2020-09-04,Average Tone,-2.8454
2020-09-05,Average Tone,-2.8953
2020-09-06,Average Tone,-4.0136
2020-09-07,Average Tone,-3.5473
2020-09-08,Average Tone,-3.3981
2020-09-09,Average Tone,-3.2591
2020-09-10,Average Tone,-2.9783
2020-09-11,Average Tone,-2.1924
2020-09-12,Average Tone,-2.5435
2020-09-13,Average Tone,-2.8717
2020-09-14,Average Tone,-2.1857
2020-09-15,Average Tone,-3.3529
2020-09-16,Average Tone,-1.5904
2020-09-17,Average Tone,-2.0024
2020-09-18,Average Tone,-2.3153
2020-09-19,Average Tone,-2.4094
2020-09-20,Average Tone,-2.6222
2020-09-21,Average Tone,-2.3384
2020-09-22,Average Tone,-2.544
2020-09-23,Average Tone,-2.5759
2020-09-24,Average Tone,-1.6271
2020-09-25,Average Tone,-3.2817
2020-09-26,Average Tone,-2.8067
2020-09-27,Average Tone,-3.113
2020-09-28,Average Tone,-3.246
2020-09-29,Average Tone,-2.5469
2020-09-30,Average Tone,-3.9063
2020-10-01,Average Tone,-2.8204
2020-10-02,Average Tone,-2.7759
2020-10-03,Average Tone,-2.6625
2020-10-04,Average Tone,-2.2185
2020-10-05,Average Tone,-3.1437
2020-10-06,Average Tone,-3.1071
2020-10-07,Average Tone,-2.1442
2020-10-08,Average Tone,-2.1298
2020-10-09,Average Tone,-3.171
2020-10-10,Average Tone,-2.6047
2020-10-11,Average Tone,-2.7031
2020-10-12,Average Tone,-3.4859
2020-10-13,Average Tone,-2.7274
2020-10-14,Average Tone,-2.6866
2020-10-15,Average Tone,-2.7538
2020-10-16,Average Tone,-2.2526
2020-10-17,Average Tone,-5.504
2020-10-18,Average Tone,-3.927
2020-10-19,Average Tone,-4.229
2020-10-21,Average Tone,-3.8595
2020-10-22,Average Tone,-3.119
2020-10-23,Average Tone,-2.504
2020-10-24,Average Tone,-3.817
2020-10-25,Average Tone,-3.8954
2020-10-26,Average Tone,-3.8446
2020-10-27,Average Tone,-3.0481
2020-10-28,Average Tone,-4.3527
2020-10-29,Average Tone,-6.4831
2020-10-30,Average Tone,-5.0447
2020-10-31,Average Tone,-3.9304
2020-11-01,Average Tone,-3.9758
2020-11-02,Average Tone,-2.7497
2020-11-03,Average Tone,-3.5048
2020-11-04,Average Tone,-2.2338
2020-11-05,Average Tone,-3.4829
2020-11-06,Average Tone,-2.9788
2020-11-07,Average Tone,-3.0255
2020-11-08,Average Tone,-2.66
2020-11-09,Average Tone,-2.6957
2020-11-10,Average Tone,-2.6487
2020-11-11,Average Tone,-3.0301
2020-11-12,Average Tone,-3.15
2020-11-13,Average Tone,-2.3352
2020-11-14,Average Tone,-1.8136
2020-11-15,Average Tone,-3.4431
2020-11-16,Average Tone,-3.8523
2020-11-17,Average Tone,-2.5769
2020-11-18,Average Tone,-2.7583
2020-11-19,Average Tone,-2.7333
2020-11-20,Average Tone,-2.9339
2020-11-21,Average Tone,-2.4618
2020-11-22,Average Tone,-3.2468
2020-11-23,Average Tone,-2.3397
2020-11-24,Average Tone,-2.5164
2020-11-25,Average Tone,-2.9562
2020-11-26,Average Tone,-3.6971
2020-11-27,Average Tone,-3.6138
2020-11-28,Average Tone,-3.5206
2020-11-29,Average Tone,-3.2224
2020-11-30,Average Tone,-2.8649
2020-12-01,Average Tone,-2.8321
2020-12-02,Average Tone,-3.1588
2020-12-03,Average Tone,-3.1128
2020-12-04,Average Tone,-2.5949
2020-12-05,Average Tone,-3.0022
2020-12-06,Average Tone,-2.0427
2020-12-07,Average Tone,-3.0049
2020-12-08,Average Tone,-3.07
2020-12-09,Average Tone,-2.5718
2020-12-10,Average Tone,-2.9482
2020-12-11,Average Tone,-2.3641
2020-12-12,Average Tone,-4.5552
2020-12-13,Average Tone,-3.1512
2020-12-14,Average Tone,-2.0148
2020-12-15,Average Tone,-2.4361
2020-12-16,Average Tone,-3.9339
2020-12-17,Average Tone,-2.9461
2020-12-18,Average Tone,-2.2918
2020-12-19,Average Tone,-2.8123
2020-12-20,Average Tone,-2.4669
2020-12-21,Average Tone,-1.9589
2020-12-22,Average Tone,-2.355
2020-12-23,Average Tone,-3.0223
2020-12-24,Average Tone,-3.3128
2020-12-25,Average Tone,-3.2659
2020-12-26,Average Tone,-2.358
2020-12-27,Average Tone,-2.8693
2020-12-28,Average Tone,-3.8461
2020-12-29,Average Tone,-3.4655
2020-12-30,Average Tone,-2.8102
2020-12-31,Average Tone,-2.933
2021-01-01,Average Tone,-2.277
2021-01-02,Average Tone,-2.9624
2021-01-03,Average Tone,-3.2768
2021-01-04,Average Tone,-5.1223
2021-01-05,Average Tone,-3.7977
2021-01-06,Average Tone,-3.5359
2021-01-07,Average Tone,-3.9891
2021-01-08,Average Tone,-3.9319
2021-01-09,Average Tone,-3.6875
2021-01-10,Average Tone,-3.8035
2021-01-11,Average Tone,-3.4522
2021-01-12,Average Tone,-3.6472
2021-01-13,Average Tone,-3.9956
